Date,Attack_Type,Target,Impact,Source_IP,Destination_IP
2023-01-01,Phishing,Company A,Data Breach,192.168.1.1,10.0.0.1
2023-01-02,Malware,Company B,System Downtime,192.168.1.2,10.0.0.2
2023-01-03,Ransomware,Company C,Financial Loss,192.168.1.3,10.0.0.3
2023-01-04,DDoS,Company D,Service Disruption,192.168.1.4,10.0.0.4
2023-01-05,Phishing,Company E,Data Breach,192.168.1.5,10.0.0.5
2023-01-06,Malware,Company F,System Downtime,192.168.1.6,10.0.0.6
2023-01-07,Ransomware,Company G,Financial Loss,192.168.1.7,10.0.0.7
2023-01-08,DDoS,Company H,Service Disruption,192.168.1.8,10.0.0.8
2023-01-09,Phishing,Company I,Data Breach,192.168.1.9,10.0.0.9
2023-01-10,Malware,Company J,System Downtime,192.168.1.10,10.0.0.10
2023-01-11,Ransomware,Company K,Financial Loss,192.168.1.11,10.0.0.11
2023-01-12,DDoS,Company L,Service Disruption,192.168.1.12,10.0.0.12
2023-01-13,Phishing,Company M,Data Breach,192.168.1.13,10.0.0.13
2023-01-14,Malware,Company N,System Downtime,192.168.1.14,10.0.0.14
2023-01-15,Ransomware,Company O,Financial Loss,192.168.1.15,10.0.0.15
2023-01-16,DDoS,Company P,Service Disruption,192.168.1.16,10.0.0.16
2023-01-17,Phishing,Company Q,Data Breach,192.168.1.17,10.0.0.17
2023-01-18,Malware,Company R,System Downtime,192.168.1.18,10.0.0.18
2023-01-19,Ransomware,Company S,Financial Loss,192.168.1.19,10.0.0.19
2023-01-20,DDoS,Company T,Service Disruption,192.168.1.20,10.0.0.20
2023-01-21,Phishing,Company U,Data Breach,192.168.1.21,10.0.0.21
2023-01-22,Malware,Company V,System Downtime,192.168.1.22,10.0.0.22
2023-01-23,Ransomware,Company W,Financial Loss,192.168.1.23,10.0.0.23
2023-01-24,DDoS,Company X,Service Disruption,192.168.1.24,10.0.0.24
2023-01-25,Phishing,Company Y,Data Breach,192.168.1.25,10.0.0.25
2023-01-26,Malware,Company Z,System Downtime,192.168.1.26,10.0.0.26
2023-01-27,Ransomware,Company AA,Financial Loss,192.168.1.27,10.0.0.27
2023-01-28,DDoS,Company BB,Service Disruption,192.168.1.28,10.0.0.28
2023-01-29,Phishing,Company CC,Data Breach,192.168.1.29,10.0.0.29
2023-01-30,Malware,Company DD,System Downtime,192.168.1.30,10.0.0.30
2023-01-31,Ransomware,Company EE,Financial Loss,192.168.1.31,10.0.0.31
2023-02-01,DDoS,Company FF,Service Disruption,192.168.1.32,10.0.0.32
2023-02-02,Phishing,Company GG,Data Breach,192.168.1.33,10.0.0.33
2023-02-03,Malware,Company HH,System Downtime,192.168.1.34,10.0.0.34
2023-02-04,Ransomware,Company II,Financial Loss,192.168.1.35,10.0.0.35
2023-02-05,DDoS,Company JJ,Service Disruption,192.168.1.36,10.0.0.36
2023-02-06,Phishing,Company KK,Data Breach,192.168.1.37,10.0.0.37
2023-02-07,Malware,Company LL,System Downtime,192.168.1.38,10.0.0.38